TIME,Temperature,Pressure,Altitude
16:22.2,37.04,995.8,146.33
16:24.2,37.04,995.79,146.37
16:26.3,37.05,995.8,146.34
16:28.3,37.06,995.79,146.38
16:30.3,37.07,995.79,146.37
16:32.3,37.08,995.79,146.39
16:34.3,37.1,995.79,146.39
16:36.3,37.11,995.79,146.4
16:38.3,37.13,995.79,146.42
16:40.3,37.15,995.79,146.38
16:42.4,37.18,995.79,146.39
16:44.4,37.21,995.8,146.34
16:46.4,37.23,995.8,146.33
16:48.4,37.25,995.8,146.32
16:50.4,37.28,995.8,146.3
16:52.4,37.29,995.8,146.29
16:54.4,37.31,995.78,146.45
16:56.4,37.32,995.75,146.66
16:58.4,37.33,995.73,146.87
17:00.5,37.34,995.7,147.19
17:02.5,37.36,995.67,147.4
17:04.5,37.4,995.67,147.4
17:06.5,37.46,995.76,146.69
17:08.5,37.56,995.76,146.61
17:10.5,37.64,995.71,147.1
17:12.5,37.72,995.65,147.59
17:14.5,37.76,995.6,147.99
17:16.5,37.78,995.57,148.24
17:18.6,37.79,995.54,148.5
17:20.6,37.8,995.53,148.6
17:22.6,37.82,995.52,148.71
17:24.6,37.82,995.5,148.85
17:26.6,37.82,995.49,148.97
17:28.6,37.81,995.47,149.07
17:30.6,37.81,995.47,149.14
17:32.6,37.81,995.46,149.15
17:34.6,37.81,995.47,149.11
17:36.7,37.83,995.47,149.07
17:38.7,37.84,995.48,149.05
17:40.7,37.86,995.48,149
17:42.7,37.89,995.49,148.92
17:44.7,37.9,995.49,148.95
17:46.7,37.92,995.49,148.94
17:48.7,37.93,995.49,148.89
17:50.7,37.96,995.49,148.89
17:52.7,37.99,995.49,148.91
17:54.8,38.04,995.48,148.97
17:56.8,38.08,995.47,149.08
17:58.8,38.1,995.46,149.17
18:00.8,38.11,995.45,149.23
18:02.8,38.13,995.46,149.22
18:04.8,38.14,995.45,149.28
18:06.8,38.16,995.45,149.29
18:08.8,38.17,995.43,149.41
18:10.8,38.17,995.43,149.45
18:12.9,38.16,995.42,149.49
18:14.9,38.13,995.42,149.52
18:16.9,38.1,995.42,149.51
18:18.9,38.06,995.42,149.51
18:20.9,38.03,995.43,149.47
18:22.9,38,995.43,149.45
18:24.9,37.99,995.43,149.42
18:26.9,37.99,995.43,149.4
18:28.9,37.99,995.44,149.39
18:31.0,37.99,995.44,149.37
18:33.0,37.99,995.44,149.36
18:35.0,38,995.44,149.35
18:37.0,38.02,995.43,149.42
18:39.0,38.04,995.43,149.47
18:41.0,38.08,995.43,149.47
18:43.0,38.11,995.42,149.5
18:45.0,38.13,995.42,149.5
18:47.0,38.15,995.43,149.45
18:49.0,38.15,995.43,149.46
18:51.1,38.14,995.42,149.53
18:53.1,38.13,995.42,149.54
18:55.1,38.13,995.42,149.55
18:57.1,38.13,995.42,149.54
18:59.1,38.13,995.42,149.51
19:01.1,38.15,995.43,149.46
19:03.1,38.18,995.43,149.45
19:05.1,38.2,995.41,149.59
19:07.2,38.21,995.4,149.67
19:09.2,38.21,995.39,149.73
19:11.2,38.21,995.39,149.79
19:13.2,38.2,995.38,149.85
19:15.2,38.21,995.38,149.81
19:17.2,38.22,995.39,149.8
19:19.2,38.23,995.39,149.79
19:21.2,38.24,995.39,149.77
19:23.2,38.25,995.39,149.75
19:25.3,38.24,995.39,149.73
19:27.3,38.25,995.4,149.65
19:29.3,38.25,995.41,149.61
19:31.3,38.25,995.41,149.58
19:33.3,38.27,995.42,149.55
19:35.3,38.28,995.42,149.52
19:37.3,38.29,995.41,149.56
19:39.3,38.3,995.42,149.56
19:41.4,38.29,995.42,149.52
19:43.4,38.27,995.41,149.56
19:45.4,38.25,995.42,149.55
19:47.4,38.24,995.42,149.54
19:49.4,38.23,995.42,149.52
19:51.4,38.22,995.41,149.57
19:53.4,38.21,995.4,149.65
19:55.4,38.2,995.4,149.71
19:57.4,38.18,995.39,149.79
19:59.5,38.15,995.39,149.78
20:01.5,38.12,995.39,149.79
20:03.5,38.09,995.39,149.77
20:05.5,38.06,995.4,149.72
20:07.5,38.04,995.4,149.72
20:09.5,38.03,995.4,149.67
20:11.5,38.03,995.41,149.58
20:13.5,38.03,995.41,149.6
20:15.5,38.04,995.42,149.54
20:17.6,38.06,995.42,149.54
20:19.6,38.07,995.42,149.49
20:21.6,38.09,995.42,149.49
20:23.6,38.11,995.42,149.49
20:25.6,38.13,995.42,149.52
20:27.6,38.14,995.42,149.48
20:29.6,38.13,995.43,149.43
20:31.6,38.11,995.43,149.45
20:33.6,38.09,995.44,149.38
20:35.7,38.09,995.44,149.35
20:37.7,38.08,995.44,149.32
20:39.7,38.06,995.45,149.24
20:41.7,38.04,995.46,149.19
20:43.7,38.02,995.45,149.23
20:45.7,38,995.46,149.17
20:47.7,37.98,995.47,149.1
20:49.7,37.96,995.47,149.13
20:51.7,37.93,995.46,149.2
20:53.7,37.92,995.46,149.15
20:55.8,37.88,995.45,149.24
20:57.8,37.83,995.43,149.43
20:59.8,37.77,995.42,149.54
21:01.8,37.7,995.39,149.74
21:03.8,37.64,995.38,149.82
21:05.8,37.58,995.38,149.87
21:07.8,37.53,995.38,149.84
21:09.8,37.48,995.38,149.88
21:11.8,37.44,995.38,149.86
21:13.9,37.43,995.38,149.81
21:15.9,37.4,995.38,149.85
21:17.9,37.38,995.39,149.8
21:19.9,37.36,995.38,149.85
21:21.9,37.36,995.38,149.81
21:23.9,37.36,995.39,149.81
21:25.9,37.36,995.39,149.79
21:27.9,37.36,995.38,149.84
21:30.0,37.36,995.37,149.94
21:32.0,37.36,995.36,150.01
21:34.0,37.35,995.35,150.09
21:36.0,37.34,995.36,150.06
21:38.0,37.34,995.36,150.02
21:40.0,37.33,995.37,149.98
21:42.0,37.32,995.37,149.9
21:44.0,37.32,995.38,149.81
21:46.0,37.33,995.39,149.8
21:48.1,37.35,995.38,149.85
21:50.1,37.38,995.38,149.82
21:52.1,37.42,995.39,149.76
21:54.1,37.45,995.4,149.72
21:56.1,37.48,995.4,149.68
21:58.1,37.51,995.4,149.7
22:00.1,37.52,995.4,149.72
22:02.1,37.54,995.4,149.7
22:04.2,37.55,995.4,149.65
22:06.2,37.55,995.41,149.61
22:08.2,37.56,995.42,149.56
22:10.2,37.6,995.42,149.54
22:12.2,37.65,995.42,149.48
22:14.2,37.69,995.49,148.91
22:16.2,37.75,995.58,148.21
22:18.2,37.8,995.63,147.75
22:20.2,37.85,995.69,147.28
22:22.2,37.89,995.72,147.02
22:24.3,37.93,995.75,146.73
22:26.3,38,995.79,146.39
22:28.3,38.04,995.8,146.32
22:30.3,38.09,995.81,146.26
22:32.3,38.12,995.82,146.13
22:34.3,38.16,995.84,146
22:36.3,38.19,995.84,145.95
22:38.3,38.24,995.84,145.94
22:40.3,38.29,995.85,145.9
22:42.4,38.33,995.83,146.06
22:44.4,38.32,995.79,146.36
22:46.4,38.29,995.78,146.45
22:48.4,38.24,995.78,146.45
22:50.4,38.19,995.78,146.51
22:52.4,38.12,995.78,146.5
22:54.4,38.07,995.78,146.45
22:56.4,38,995.79,146.4
22:58.4,37.93,995.78,146.44
23:00.5,37.88,995.78,146.46
23:02.5,37.81,995.77,146.58
23:04.5,37.76,995.77,146.59
23:06.5,37.73,995.78,146.45
23:08.5,37.72,995.78,146.47
23:10.5,37.73,995.76,146.64
23:12.5,37.74,995.71,147.07
23:14.5,37.77,995.64,147.64
23:16.6,37.79,995.58,148.14
23:18.6,37.8,995.54,148.52
23:20.6,37.81,995.5,148.86
23:22.6,37.81,995.47,149.07
23:24.6,37.83,995.46,149.2
23:26.6,37.84,995.46,149.21
23:28.6,37.87,995.45,149.25
23:30.6,37.9,995.45,149.3
23:32.6,37.92,995.44,149.37
23:34.7,37.94,995.43,149.4
23:36.7,37.96,995.43,149.4
23:38.7,37.99,995.42,149.49
23:40.7,38.01,995.42,149.48
23:42.7,38.03,995.42,149.51
23:44.7,38.03,995.42,149.48
23:46.7,38.02,995.42,149.52
23:48.7,38.01,995.42,149.56
